@RELATION airbnb

@ATTRIBUTE room_type {'Shared room','Entire home/apt','Private room'}
@ATTRIBUTE neighborhood {'Eixample','Sants-Montjuïc','Ciutat Vella','Sant Martí','Les Corts','Horta-Guinardó','Nou Barris','Gràcia','Sarrià-Sant Gervasi','Sant Andreu'}
@ATTRIBUTE reviews {'2','1','3','0'}
@ATTRIBUTE overall_satisfaction {'4.5','4.0','5.0','3.5','1.5','1.0','3.0','2.0','2.5'}
@ATTRIBUTE accommodates {'10','12','2','16','8','6','4','1','3','5','9','7','14','11','13','15'}
@ATTRIBUTE bedrooms {'1.0','4.0','2.0','3.0','0.0','6.0','5.0','9.0','7.0','8.0','10.0'}
@ATTRIBUTE price {'0','1','3','2'}
@ATTRIBUTE latitude {'2','0','1','3'}
@ATTRIBUTE longitude {'1','2','0','3'}

@DATA
'Private room','Sants-Montjuïc','1','4.5','2','1.0','0','0','1'
'Private room','Ciutat Vella','3','4.5','2','1.0','0','1','3'
'Entire home/apt','Eixample','1','5.0','3','2.0','0','0','1'
'Entire home/apt','Gràcia','1','4.0','2','1.0','0','2','0'
'Entire home/apt','Ciutat Vella','0','5.0','4','1.0','0','0','3'
'Entire home/apt','Ciutat Vella','2','4.5','8','4.0','0','0','2'
'Entire home/apt','Ciutat Vella','1','4.5','3','3.0','0','1','2'
'Entire home/apt','Ciutat Vella','1','4.5','4','1.0','0','1','2'
'Private room','Ciutat Vella','3','5.0','1','1.0','0','0','1'
'Private room','Gràcia','2','4.0','2','1.0','0','3','1'
'Private room','Gràcia','3','5.0','2','1.0','0','3','1'
'Entire home/apt','Sants-Montjuïc','1','4.0','6','2.0','0','0','0'
'Entire home/apt','Eixample','3','4.5','7','3.0','0','3','2'
'Private room','Ciutat Vella','3','4.5','2','1.0','0','0','2'
'Entire home/apt','Sants-Montjuïc','0','4.5','10','3.0','0','0','1'
'Private room','Eixample','2','4.5','2','1.0','0','2','2'
'Private room','Sant Martí','1','5.0','2','1.0','0','2','3'
'Private room','Eixample','0','4.5','2','1.0','0','0','0'
'Private room','Eixample','1','4.0','1','1.0','0','2','0'
'Entire home/apt','Ciutat Vella','2','5.0','6','2.0','0','0','2'
'Entire home/apt','Eixample','3','4.5','4','2.0','0','3','2'
'Entire home/apt','Sants-Montjuïc','3','4.5','7','3.0','0','0','1'
'Entire home/apt','Eixample','1','4.5','6','2.0','0','2','2'
'Entire home/apt','Ciutat Vella','1','4.5','4','4.0','0','1','1'
'Private room','Gràcia','0','5.0','1','1.0','0','3','1'
'Private room','Gràcia','2','4.5','1','1.0','0','3','0'
'Private room','Ciutat Vella','1','4.5','4','1.0','0','0','1'
'Private room','Sant Martí','1','4.5','2','1.0','0','3','3'
'Private room','Ciutat Vella','3','4.0','2','1.0','0','0','2'
'Private room','Eixample','0','5.0','1','0.0','0','1','1'
'Private room','Eixample','2','4.5','2','1.0','0','2','0'
'Private room','Sant Martí','0','4.5','1','1.0','0','3','3'
'Shared room','Les Corts','1','4.0','3','1.0','0','0','0'
'Entire home/apt','Ciutat Vella','3','5.0','3','1.0','0','1','3'
'Entire home/apt','Gràcia','1','4.0','6','1.0','0','3','1'
'Private room','Ciutat Vella','0','4.0','2','1.0','0','0','2'
'Private room','Ciutat Vella','2','4.5','2','1.0','0','0','2'
'Private room','Eixample','3','5.0','2','1.0','0','2','2'
'Private room','Les Corts','3','5.0','2','1.0','0','0','0'
'Entire home/apt','Eixample','0','4.5','4','3.0','0','1','0'
'Entire home/apt','Eixample','0','5.0','8','4.0','0','2','0'
'Private room','Sants-Montjuïc','3','4.5','3','1.0','0','0','0'
'Shared room','Sants-Montjuïc','2','4.5','2','1.0','0','0','0'
'Private room','Sant Martí','2','4.5','2','1.0','0','2','3'
'Private room','Sant Martí','3','4.5','2','1.0','0','3','3'
'Entire home/apt','Eixample','1','3.5','7','3.0','0','0','0'
'Private room','Sants-Montjuïc','0','4.5','2','1.0','0','0','0'
'Entire home/apt','Gràcia','0','4.5','4','2.0','0','2','1'
'Private room','Eixample','0','5.0','1','1.0','0','1','0'
'Private room','Sants-Montjuïc','0','5.0','2','1.0','0','0','0'
'Entire home/apt','Ciutat Vella','3','4.5','4','2.0','0','0','2'
'Entire home/apt','Ciutat Vella','0','5.0','4','1.0','0','0','2'
'Private room','Gràcia','2','5.0','2','1.0','0','2','0'
'Entire home/apt','Sant Martí','0','4.5','8','4.0','1','1','3'
'Entire home/apt','Sant Martí','1','4.5','8','4.0','0','2','3'
