@RELATION airbnb

@ATTRIBUTE room_type {'Shared room','Entire home/apt','Private room'}
@ATTRIBUTE neighborhood {'Eixample','Sants-Montjuïc','Ciutat Vella','Sant Martí','Les Corts','Horta-Guinardó','Nou Barris','Gràcia','Sarrià-Sant Gervasi','Sant Andreu'}
@ATTRIBUTE reviews {'0','1','2','4','5','3','7','6','8','9'}
@ATTRIBUTE overall_satisfaction {'4.5','4.0','5.0','3.5','1.5','1.0','3.0','2.0','2.5'}
@ATTRIBUTE accommodates {'10','12','2','16','8','6','4','1','3','5','9','7','14','11','13','15'}
@ATTRIBUTE bedrooms {'1.0','4.0','2.0','3.0','0.0','6.0','5.0','9.0','7.0','8.0','10.0'}
@ATTRIBUTE price {'1','0','2','4','3','14','7','6','5'}
@ATTRIBUTE latitude {'6','3','7','4','9','10','5','8','15','12','11','2','14','16','1','0','13','19','17','18'}
@ATTRIBUTE longitude {'10','11','9','8','5','14','16','12','13','6','15','7','17','18','19','4','1','3','2','0'}

@DATA
'Private room','Sants-Montjuïc','0','4.5','2','1.0','0','3','10'
'Private room','Ciutat Vella','1','4.5','2','1.0','0','5','12'
'Entire home/apt','Eixample','0','5.0','3','2.0','0','4','10'
'Entire home/apt','Gràcia','0','4.0','2','1.0','0','8','9'
'Entire home/apt','Ciutat Vella','0','5.0','4','1.0','0','5','14'
'Entire home/apt','Ciutat Vella','0','4.5','8','4.0','0','4','12'
'Entire home/apt','Ciutat Vella','0','4.5','3','3.0','1','5','12'
'Entire home/apt','Ciutat Vella','0','4.5','4','1.0','0','5','11'
'Private room','Ciutat Vella','1','5.0','1','1.0','0','4','11'
'Private room','Gràcia','0','4.0','2','1.0','0','9','10'
'Private room','Gràcia','1','5.0','2','1.0','0','9','10'
'Entire home/apt','Sants-Montjuïc','0','4.0','6','2.0','0','4','7'
'Entire home/apt','Eixample','2','4.5','7','3.0','0','8','12'
'Private room','Ciutat Vella','1','4.5','2','1.0','0','4','11'
'Entire home/apt','Sants-Montjuïc','0','4.5','10','3.0','0','3','10'
'Private room','Eixample','0','4.5','2','1.0','0','6','12'
'Private room','Sant Martí','0','5.0','2','1.0','0','7','15'
'Private room','Eixample','0','4.5','2','1.0','0','4','9'
'Private room','Eixample','0','4.0','1','1.0','0','6','9'
'Entire home/apt','Ciutat Vella','0','5.0','6','2.0','0','4','12'
'Entire home/apt','Eixample','1','4.5','4','2.0','0','9','12'
'Entire home/apt','Sants-Montjuïc','4','4.5','7','3.0','0','3','10'
'Entire home/apt','Eixample','0','4.5','6','2.0','0','7','11'
'Entire home/apt','Ciutat Vella','0','4.5','4','4.0','0','5','10'
'Private room','Gràcia','0','5.0','1','1.0','0','8','11'
'Private room','Gràcia','0','4.5','1','1.0','0','9','9'
'Private room','Ciutat Vella','0','4.5','4','1.0','0','4','11'
'Private room','Sant Martí','0','4.5','2','1.0','0','10','17'
'Private room','Ciutat Vella','2','4.0','2','1.0','0','4','12'
'Private room','Eixample','0','5.0','1','0.0','0','6','11'
'Private room','Eixample','0','4.5','2','1.0','0','7','9'
'Private room','Sant Martí','0','4.5','1','1.0','0','9','13'
'Shared room','Les Corts','0','4.0','3','1.0','0','4','5'
'Entire home/apt','Ciutat Vella','1','5.0','3','1.0','0','5','13'
'Entire home/apt','Gràcia','0','4.0','6','1.0','0','10','10'
'Private room','Ciutat Vella','0','4.0','2','1.0','0','4','11'
'Private room','Ciutat Vella','0','4.5','2','1.0','0','4','12'
'Private room','Eixample','1','5.0','2','1.0','0','8','12'
'Private room','Les Corts','1','5.0','2','1.0','0','4','4'
'Entire home/apt','Eixample','0','4.5','4','3.0','0','5','9'
'Entire home/apt','Eixample','0','5.0','8','4.0','2','7','9'
'Private room','Sants-Montjuïc','1','4.5','3','1.0','0','3','8'
'Shared room','Sants-Montjuïc','0','4.5','2','1.0','0','3','7'
'Private room','Sant Martí','0','4.5','2','1.0','0','8','15'
'Private room','Sant Martí','1','4.5','2','1.0','0','11','17'
'Entire home/apt','Eixample','0','3.5','7','3.0','0','4','9'
'Private room','Sants-Montjuïc','0','4.5','2','1.0','0','2','7'
'Entire home/apt','Gràcia','0','4.5','4','2.0','0','8','10'
'Private room','Eixample','0','5.0','1','1.0','0','5','9'
'Private room','Sants-Montjuïc','0','5.0','2','1.0','0','1','7'
'Entire home/apt','Ciutat Vella','1','4.5','4','2.0','0','5','12'
'Entire home/apt','Ciutat Vella','0','5.0','4','1.0','0','4','12'
'Private room','Gràcia','0','5.0','2','1.0','0','8','9'
'Entire home/apt','Sant Martí','0','4.5','8','4.0','4','5','15'
'Entire home/apt','Sant Martí','0','4.5','8','4.0','0','6','13'
'Private room','Ciutat Vella','0','5.0','3','1.0','0','6','12'
'Private room','Gràcia','0','4.5','2','1.0','0','9','10'
'Private room','Ciutat Vella','0','4.5','2','1.0','0','4','14'
'Entire home/apt','Sarrià-Sant Gervasi','0','4.5','4','2.0','0','7','8'
'Entire home/apt','Horta-Guinardó','0','4.5','4','2.0','0','12','10'
'Entire home/apt','Eixample','0','4.5','5','2.0','0','7','10'
'Private room','Ciutat Vella','1','4.5','2','1.0','0','5','12'
'Entire home/apt','Sant Martí','0','4.5','6','2.0','0','10','12'
'Private room','Sants-Montjuïc','0','4.0','3','1.0','0','3','11'
'Entire home/apt','Sants-Montjuïc','0','5.0','4','2.0','0','3','10'
'Entire home/apt','Sarrià-Sant Gervasi','0','4.5','5','3.0','0','9','8'
'Private room','Sants-Montjuïc','0','5.0','3','2.0','0','4','8'
'Private room','Gràcia','2','4.0','3','1.0','0','10','8'
'Private room','Nou Barris','0','5.0','2','1.0','0','15','11'
